統計期,國家/地區別,<b>總計</b>,1.活動物；動物產品,(1)水產品,2.植物產品,(1)食用蔬菜,(2)食用果實及堅果,3.動植物油脂,4.調製食品；飲料及菸酒,(1)調製食品,(2)飲料、酒類及醋,(3)菸及菸葉代用品,5.礦產品,(1)石油煉製品,6.化學品,(1)有機化學品,7.塑膠、橡膠及其製品,(1)塑膠原料,(2)塑膠製品,(3)橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,(1)紗布,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,(1)鋼鐵及其製品,(2)其他基本金屬及其製品,16.機械及電機設備,(1)電子零組件,(2)機械,(3)電機產品,(4)資通與視聽產品,(5)家用電器,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,(1)光學及精密儀器,19.其他,(1)家具,(2)玩具與運動用品,月,年
110年 3月,伊拉克,3764.0,－,－,－,－,－,－,204,31,173,－,－,－,160,－,427,－,246,181,－,－,－,2,－,－,27,－,684,596,88,1096.0,－,441.0,227,271,157,791,115,115,258,－,118,3,110
110年 3月,以色列,71624.0,－,－,45,－,－,28,305,91,214,－,－,－,4104,1612,9990,8036,901,1053,24,2,370,1819,355,111,255,7,6835,4393,2442,40685.0,14284,6196.0,4119,15428,658,3491,1773,1769,1780,80,623,3,110
110年 3月,科威特,11708.0,278,278,116,58,－,－,33,33,－,－,－,－,97,54,1596,384,940,272,3,94,50,155,77,25,46,－,1547,1211,336,2399.0,－,925.0,741,620,113,4739,23,23,507,96,289,3,110
110年 3月,阿曼,8828.0,－,－,24,5,－,8,－,－,－,－,－,－,542,506,563,367,160,36,－,－,－,50,28,－,3,－,2792,2779,13,787.0,3,261.0,370,118,35,3567,122,122,370,157,67,3,110
110年 3月,卡達,8041.0,61,55,－,－,－,－,24,－,24,－,－,－,214,149,3238,2568,293,377,2,－,8,21,－,－,－,－,1340,1137,203,1438.0,12,405.0,217,804,－,1315,59,59,321,25,213,3,110
110年 3月,沙烏地阿拉伯,58441.0,180,180,476,－,－,－,78,78,－,－,197,197,5471,4372,8500,4111,2735,1654,－,25,346,1589,944,8,225,5,7689,6597,1092,12292.0,14,4779.0,4178,2634,687,19590,779,734,991,286,225,3,110
110年 3月,土耳其,119294.0,－,－,42,42,－,－,212,83,129,－,65,65,9071,4363,17992,12757,1359,3876,－,－,184,4560,2585,2,920,－,10434,8837,1597,71046.0,13103,36645.0,5517,15656,125,2706,1263,1251,797,81,120,3,110
110年 3月,阿拉伯聯合大公國,103410.0,266,266,158,93,42,－,148,91,－,57,14424,12716,6318,4478,13198,8884,3172,1142,22,74,247,3415,3105,27,372,－,18545,13818,4727,33426.0,151,7299.0,4135,21625,216,9611,787,749,2372,633,650,3,110
110年 3月,北美洲,5319118.0,14665,12003,12062,1360,1121,1111,49232,45477,3214,－,5630,22,151552,62961,335738,79222,192446,64070,8136,4216,23650,67482,29886,9718,43461,19989,705205,432903,272302,2838080.0,233070,511458.0,404345,1671168,18039,412058,183265,176973,433868,114965,249934,3,110
110年 3月,美國,5084893.0,13530,10901,10151,1293,432,1000,44024,40528,2955,－,5228,22,146888,62421,311945,70980,181310,59655,8051,4010,22663,61411,26449,8686,42326,11586,634856,380183,254673,2777473.0,228497,490627.0,392228,1649073,17048,385426,179277,173219,416362,111183,240233,3,110
110年 3月,加拿大,234107.0,1135,1102,1911,67,689,111,5208,4949,259,－,402,－,4657,540,23749,8242,11136,4371,85,206,987,6071,3437,1032,1135,8403,70349,52720,17629,60598.0,4573,20822.0,12117,22095,991,26574,3988,3754,17506,3782,9701,3,110
110年 3月,中美洲,363451.0,562,551,2410,4,－,401,1375,274,1002,－,200,69,18698,3686,41889,20858,15296,5735,10,78,989,13065,8289,151,1472,3,46376,30900,15476,196536.0,28488,31985.0,19638,112898,3527,26719,5191,5178,7326,2207,2277,3,110
110年 3月,墨西哥,290794.0,－,－,－,－,－,367,97,36,－,－,169,38,10806,3268,22386,9472,8968,3946,8,50,400,6860,3047,81,1103,－,41177,28155,13022,179936.0,26842,25461.0,16623,110608,402,19396,3696,3696,4262,1629,1342,3,110
